"txid"	"bin"	"shopperinteraction"	"cardtype"	"amount"	"currencycode"	"txtype"	"issuercountrycode"	"accountriskscore"	"threed"	"acquirer"	"auths"
1	"454496"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"PT"	-50	"no 3D secure"	"Adyen Int."	1
2	"513379"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
3	"513379"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
4	"465943"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"GB"	-50	"3D secure"	"Adyen Int."	0
5	"513625"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
6	"513625"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
7	"456140"	"Ecommerce"	"CREDIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
8	"456140"	"Ecommerce"	"DEFFERED_DEBIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
9	"513625"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10	"513625"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
11	"456140"	"Ecommerce"	"CREDIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
12	"456140"	"Ecommerce"	"DEFFERED_DEBIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
13	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
14	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
15	"450994"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"AR"	0	"no 3D secure"	"Adyen Int."	1
16	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
17	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
18	"513536"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
19	"513536"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
20	"527289"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"KR"	0	"3D secure"	"Adyen Int."	1
21	"527289"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"KR"	0	"3D secure"	"Adyen Int."	1
22	"530446"	"Ecommerce"	"PREPAID"	2000	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	0
23	"497401"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
24	"497401"	"Ecommerce"	"DEBIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
25	"513414"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
26	"513414"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
27	"497887"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
28	"497887"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
29	"497410"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
30	"497410"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
31	"497401"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
32	"497401"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
33	"512717"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"AE"	0	"no 3D secure"	"Adyen Int."	1
34	"529097"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
35	"529097"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
36	"402981"	"Ecommerce"	"PREPAID"	2000	"EUR"	"Authorisation"	"AU"	0	"3D secure"	"Adyen Int."	1
37	"453304"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
38	"453304"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
39	"513900"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
40	"513900"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
41	"538426"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"IN"	0	"no 3D secure"	"Adyen Int."	0
42	"512717"	"Ecommerce"	"CREDIT"	499	"EUR"	"Authorisation"	"AE"	0	"no 3D secure"	"Adyen Int."	1
43	"462845"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"SG"	0	"no 3D secure"	"Adyen Int."	1
44	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
45	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
46	"497401"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
47	"497401"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
48	"497804"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
49	"497804"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
50	"402981"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"AU"	0	"no 3D secure"	"Adyen Int."	1
51	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
52	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
53	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
54	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
55	"497490"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
56	"497490"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
57	"493831"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"NL"	-50	"no 3D secure"	"Adyen Int."	1
58	"445065"	"Ecommerce"	"PREPAID"	1999	"EUR"	"Authorisation"	"IN"	-50	"3D secure"	"Adyen Int."	1
59	"553979"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
60	"553979"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
61	"499977"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"NZ"	-50	"3D secure"	"Adyen Int."	1
62	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
63	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
64	"497401"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
65	"497401"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
